name;category;font_case;font_family;font_variant;font_weight;latex_opening_tag;latex_content;latex_closing_tag;unicode_limited_content;unicode_extended_content
Greek pi;letter;lowercase;serif;italic;regular;\textit{;\pi;};italic-pi;𝜋
Greek rho;letter;lowercase;serif;italic;regular;\textit{;\rho;};italic-rho;𝜌
Greek sigma;letter;lowercase;serif;italic;regular;\textit{;\sigma;};italic-sigma;𝜎
Greek tau;letter;lowercase;serif;italic;regular;\textit{;\tau;};italic-tau;𝜏
Greek upsilon;letter;lowercase;serif;italic;regular;\textit{;\upsilon;};italic-upsilon;𝜐
Greek phi;letter;lowercase;serif;italic;regular;\textit{;\phi;};italic-phi;𝜑
Greek chi;letter;lowercase;serif;italic;regular;\textit{;\chi;};italic-chi;𝜒
Greek psi;letter;lowercase;serif;italic;regular;\textit{;\psi;};italic-psi;𝜓
Greek omega;letter;lowercase;serif;italic;regular;\textit{;\omega;};italic-omega;𝜔
Greek alpha;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\alpha;}};italic-bold-alpha;𝜶
Greek beta;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\beta;}};italic-bold-beta;𝜷
Greek gamma;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\gamma;}};italic-bold-gamma;𝜸
Greek delta;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\delta;}};italic-bold-delta;𝜹
Greek epsilon;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\epsilon;}};italic-bold-epsilon;𝜺
Greek zeta;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\zeta;}};italic-bold-zeta;𝜻
Greek eta;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\eta;}};italic-bold-eta;𝜼
Greek theta;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\theta;}};italic-bold-theta;𝜽
Greek iota;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\iota;}};italic-bold-iota;𝜾
Greek kappa;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\kappa;}};italic-bold-kappa;𝜿
Greek lambda;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\lambda;}};italic-bold-lambda;𝝀
Greek mu;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\mu;}};italic-bold-mu;𝝁
Greek nu;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\nu;}};italic-bold-nu;𝝂
Greek xi;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\xi;}};italic-bold-xi;𝝃
Greek omicron;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\omicron;}};italic-bold-omicron;𝝄
Greek pi;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\pi;}};italic-bold-pi;𝝅
Greek rho;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\rho;}};italic-bold-rho;𝝆
Greek sigma;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\sigma;}};italic-bold-sigma;𝝈
Greek tau;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\tau;}};italic-bold-tau;𝝉
Greek upsilon;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\upsilon;}};italic-bold-upsilon;𝝊
Greek phi;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\phi;}};italic-bold-phi;𝝋
Greek chi;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\chi;}};italic-bold-chi;𝝌
Greek psi;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\psi;}};italic-bold-psi;𝝍
Greek omega;letter;lowercase;serif;italic;bold;\textit{\mathbf{;\omega;}};italic-bold-omega;𝝎
Greek alpha;letter;uppercase;serif;normal;regular;;\Alpha;;Alpha;Α
