Rank|LRPT|Main Element|Arity|Is Canonical|Is Strictly Increasing|RPT Rank|Sequence Rank|Sequence Max Value
307|2(0, 1, 0(0))|2|3|False|True|21|194|2
308|0(2, 0, 0(0))|0|3|False|False|21|111|2
309|1(0(0), 0, 0(0))|1|3|False|False|49|121|1
310|2(1, 0, 0(0))|2|3|False|False|21|193|2
311|3(0, 0, 0(0))|3|3|False|False|21|192|3
312|0(0, 0(1), 1)|0|3|True|False|20|119|1
313|0(1, 2, 1)|0|3|True|False|8|184|2
314|1(0, 2, 1)|1|3|False|False|8|174|2
315|0(0(0), 0(0), 1)|0|3|True|False|48|126|1
316|1(1, 0(0), 1)|1|3|False|False|20|200|1
317|2(0, 0(0), 1)|2|3|False|False|20|196|2
318|0(2, 1, 1)|0|3|False|False|8|181|2
319|1(0(0), 1, 1)|1|3|False|False|17|205|1
320|2(1, 1, 1)|2|3|False|False|8|307|2
321|3(0, 1, 1)|3|3|False|False|8|301|3
322|0(0(1), 0, 1)|0|3|True|False|17|117|1
323|1(2, 0, 1)|1|3|False|False|8|169|2
324|2(0(0), 0, 1)|2|3|False|False|17|196|2
325|3(1, 0, 1)|3|3|False|False|8|299|3
326|4(0, 0, 1)|4|3|False|False|8|296|4
327|0(0, 1(0), 0)|0|3|True|False|20|60|1
328|0(1, 0(1), 0)|0|3|True|False|20|113|1
329|1(0, 0(1), 0)|1|3|False|False|20|109|1
330|0(0(0), 2, 0)|0|3|False|False|17|118|2
331|1(1, 2, 0)|1|3|False|False|8|170|2
332|2(0, 2, 0)|2|3|False|False|8|164|2
333|0(2, 0(0), 0)|0|3|False|False|20|111|2
334|1(0(0), 0(0), 0)|1|3|False|False|48|121|1
335|2(1, 0(0), 0)|2|3|False|False|20|193|2
336|3(0, 0(0), 0)|3|3|False|False|20|192|3
337|0(0(1), 1, 0)|0|3|True|False|17|116|1
338|1(2, 1, 0)|1|3|False|False|8|168|2
339|2(0(0), 1, 0)|2|3|False|False|17|195|2
340|3(1, 1, 0)|3|3|False|False|8|298|3
341|4(0, 1, 0)|4|3|False|False|8|295|4
342|0(1(0), 0, 0)|0|3|True|False|17|59|1
343|1(0(1), 0, 0)|1|3|False|False|17|108|1
344|2(2, 0, 0)|2|3|False|False|8|161|2
345|3(0(0), 0, 0)|3|3|False|False|17|192|3
