Rank|Sequence|Rank as bits|Sum|Adjusted sum|Length|Rank in adjusted sum and length class|Image cardinality|Image|Is strictly increasing|Is RGF sequence
1111|(3, 0, 3, 1)|(1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1)|7|11|4|31|3|(0, 1, 3)|False|False
1112|(3, 0, 2, 2)|(1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0)|7|11|4|32|3|(0, 2, 3)|False|False
1113|(3, 0, 1, 3)|(1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1)|7|11|4|33|3|(0, 1, 3)|False|False
1114|(3, 0, 0, 4)|(1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0)|7|11|4|34|3|(0, 3, 4)|False|False
1115|(2, 5, 0, 0)|(1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1)|7|11|4|35|3|(0, 2, 5)|False|False
1116|(2, 4, 1, 0)|(1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0)|7|11|4|36|4|(0, 1, 2, 4)|False|False
1117|(2, 4, 0, 1)|(1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1)|7|11|4|37|4|(0, 1, 2, 4)|False|False
1118|(2, 3, 2, 0)|(1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0)|7|11|4|38|3|(0, 2, 3)|False|False
1119|(2, 3, 1, 1)|(1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1)|7|11|4|39|3|(1, 2, 3)|False|False
1120|(2, 3, 0, 2)|(1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)|7|11|4|40|3|(0, 2, 3)|False|False
1121|(2, 2, 3, 0)|(1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1)|7|11|4|41|3|(0, 2, 3)|False|False
1122|(2, 2, 2, 1)|(1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0)|7|11|4|42|2|(1, 2)|False|False
1123|(2, 2, 1, 2)|(1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1)|7|11|4|43|2|(1, 2)|False|False
1124|(2, 2, 0, 3)|(1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0)|7|11|4|44|3|(0, 2, 3)|False|False
1125|(2, 1, 4, 0)|(1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1)|7|11|4|45|4|(0, 1, 2, 4)|False|False
1126|(2, 1, 3, 1)|(1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0)|7|11|4|46|3|(1, 2, 3)|False|False
1127|(2, 1, 2, 2)|(1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1)|7|11|4|47|2|(1, 2)|False|False
1128|(2, 1, 1, 3)|(1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0)|7|11|4|48|3|(1, 2, 3)|False|False
1129|(2, 1, 0, 4)|(1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1)|7|11|4|49|4|(0, 1, 2, 4)|False|False
1130|(2, 0, 5, 0)|(1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0)|7|11|4|50|3|(0, 2, 5)|False|False
1131|(2, 0, 4, 1)|(1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1)|7|11|4|51|4|(0, 1, 2, 4)|False|False
1132|(2, 0, 3, 2)|(1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0)|7|11|4|52|3|(0, 2, 3)|False|False
1133|(2, 0, 2, 3)|(1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1)|7|11|4|53|3|(0, 2, 3)|False|False
1134|(2, 0, 1, 4)|(1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0)|7|11|4|54|4|(0, 1, 2, 4)|False|False
1135|(2, 0, 0, 5)|(1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1)|7|11|4|55|3|(0, 2, 5)|False|False
1136|(1, 6, 0, 0)|(1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0)|7|11|4|56|3|(0, 1, 6)|False|False
1137|(1, 5, 1, 0)|(1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1)|7|11|4|57|3|(0, 1, 5)|False|False
1138|(1, 5, 0, 1)|(1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0)|7|11|4|58|3|(0, 1, 5)|False|False
1139|(1, 4, 2, 0)|(1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1)|7|11|4|59|4|(0, 1, 2, 4)|False|False
1140|(1, 4, 1, 1)|(1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0)|7|11|4|60|2|(1, 4)|False|False
1141|(1, 4, 0, 2)|(1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1)|7|11|4|61|4|(0, 1, 2, 4)|False|False
1142|(1, 3, 3, 0)|(1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0)|7|11|4|62|3|(0, 1, 3)|False|False
1143|(1, 3, 2, 1)|(1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1)|7|11|4|63|3|(1, 2, 3)|False|False
1144|(1, 3, 1, 2)|(1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0)|7|11|4|64|3|(1, 2, 3)|False|False
1145|(1, 3, 0, 3)|(1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1)|7|11|4|65|3|(0, 1, 3)|False|False
1146|(1, 2, 4, 0)|(1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0)|7|11|4|66|4|(0, 1, 2, 4)|False|False
1147|(1, 2, 3, 1)|(1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1)|7|11|4|67|3|(1, 2, 3)|False|False
1148|(1, 2, 2, 2)|(1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0)|7|11|4|68|2|(1, 2)|False|False
1149|(1, 2, 1, 3)|(1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1)|7|11|4|69|3|(1, 2, 3)|False|False
1150|(1, 2, 0, 4)|(1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0)|7|11|4|70|4|(0, 1, 2, 4)|False|False
1151|(1, 1, 5, 0)|(1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1)|7|11|4|71|3|(0, 1, 5)|False|False
1152|(1, 1, 4, 1)|(1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)|7|11|4|72|2|(1, 4)|False|False
1153|(1, 1, 3, 2)|(1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1)|7|11|4|73|3|(1, 2, 3)|False|False
1154|(1, 1, 2, 3)|(1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0)|7|11|4|74|3|(1, 2, 3)|False|False
1155|(1, 1, 1, 4)|(1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1)|7|11|4|75|2|(1, 4)|False|False
1156|(1, 1, 0, 5)|(1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0)|7|11|4|76|3|(0, 1, 5)|False|False
1157|(1, 0, 6, 0)|(1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1)|7|11|4|77|3|(0, 1, 6)|False|False
1158|(1, 0, 5, 1)|(1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0)|7|11|4|78|3|(0, 1, 5)|False|False
1159|(1, 0, 4, 2)|(1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1)|7|11|4|79|4|(0, 1, 2, 4)|False|False
1160|(1, 0, 3, 3)|(1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)|7|11|4|80|3|(0, 1, 3)|False|False
1161|(1, 0, 2, 4)|(1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1)|7|11|4|81|4|(0, 1, 2, 4)|False|False
1162|(1, 0, 1, 5)|(1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0)|7|11|4|82|3|(0, 1, 5)|False|False
1163|(1, 0, 0, 6)|(1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1)|7|11|4|83|3|(0, 1, 6)|False|False
1164|(0, 7, 0, 0)|(1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0)|7|11|4|84|2|(0, 7)|False|False
1165|(0, 6, 1, 0)|(1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1)|7|11|4|85|3|(0, 1, 6)|False|False
1166|(0, 6, 0, 1)|(1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0)|7|11|4|86|3|(0, 1, 6)|False|False
1167|(0, 5, 2, 0)|(1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1)|7|11|4|87|3|(0, 2, 5)|False|False
1168|(0, 5, 1, 1)|(1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0)|7|11|4|88|3|(0, 1, 5)|False|False
1169|(0, 5, 0, 2)|(1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1)|7|11|4|89|3|(0, 2, 5)|False|False
1170|(0, 4, 3, 0)|(1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0)|7|11|4|90|3|(0, 3, 4)|False|False
1171|(0, 4, 2, 1)|(1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1)|7|11|4|91|4|(0, 1, 2, 4)|False|False
1172|(0, 4, 1, 2)|(1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0)|7|11|4|92|4|(0, 1, 2, 4)|False|False
1173|(0, 4, 0, 3)|(1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1)|7|11|4|93|3|(0, 3, 4)|False|False
1174|(0, 3, 4, 0)|(1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0)|7|11|4|94|3|(0, 3, 4)|False|False
1175|(0, 3, 3, 1)|(1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1)|7|11|4|95|3|(0, 1, 3)|False|False
1176|(0, 3, 2, 2)|(1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0)|7|11|4|96|3|(0, 2, 3)|False|False
1177|(0, 3, 1, 3)|(1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1)|7|11|4|97|3|(0, 1, 3)|False|False
1178|(0, 3, 0, 4)|(1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0)|7|11|4|98|3|(0, 3, 4)|False|False
1179|(0, 2, 5, 0)|(1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1)|7|11|4|99|3|(0, 2, 5)|False|False
1180|(0, 2, 4, 1)|(1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0)|7|11|4|100|4|(0, 1, 2, 4)|False|False
1181|(0, 2, 3, 2)|(1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1)|7|11|4|101|3|(0, 2, 3)|False|False
1182|(0, 2, 2, 3)|(1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0)|7|11|4|102|3|(0, 2, 3)|False|False
1183|(0, 2, 1, 4)|(1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1)|7|11|4|103|4|(0, 1, 2, 4)|False|False
1184|(0, 2, 0, 5)|(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0)|7|11|4|104|3|(0, 2, 5)|False|False
1185|(0, 1, 6, 0)|(1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1)|7|11|4|105|3|(0, 1, 6)|False|False
1186|(0, 1, 5, 1)|(1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0)|7|11|4|106|3|(0, 1, 5)|False|False
1187|(0, 1, 4, 2)|(1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1)|7|11|4|107|4|(0, 1, 2, 4)|False|False
1188|(0, 1, 3, 3)|(1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0)|7|11|4|108|3|(0, 1, 3)|False|False
1189|(0, 1, 2, 4)|(1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1)|7|11|4|109|4|(0, 1, 2, 4)|True|False
1190|(0, 1, 1, 5)|(1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0)|7|11|4|110|3|(0, 1, 5)|False|False
1191|(0, 1, 0, 6)|(1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1)|7|11|4|111|3|(0, 1, 6)|False|False
1192|(0, 0, 7, 0)|(1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0)|7|11|4|112|2|(0, 7)|False|False
1193|(0, 0, 6, 1)|(1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1)|7|11|4|113|3|(0, 1, 6)|False|False
1194|(0, 0, 5, 2)|(1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0)|7|11|4|114|3|(0, 2, 5)|False|False
1195|(0, 0, 4, 3)|(1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1)|7|11|4|115|3|(0, 3, 4)|False|False
1196|(0, 0, 3, 4)|(1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0)|7|11|4|116|3|(0, 3, 4)|False|False
1197|(0, 0, 2, 5)|(1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1)|7|11|4|117|3|(0, 2, 5)|False|False
1198|(0, 0, 1, 6)|(1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0)|7|11|4|118|3|(0, 1, 6)|False|False
1199|(0, 0, 0, 7)|(1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1)|7|11|4|119|2|(0, 7)|False|False
1200|(6, 0, 0, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0)|6|11|5|0|2|(0, 6)|False|False
1201|(5, 1, 0, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1)|6|11|5|1|3|(0, 1, 5)|False|False
1202|(5, 0, 1, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0)|6|11|5|2|3|(0, 1, 5)|False|False
1203|(5, 0, 0, 1, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1)|6|11|5|3|3|(0, 1, 5)|False|False
1204|(5, 0, 0, 0, 1)|(1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0)|6|11|5|4|3|(0, 1, 5)|False|False
1205|(4, 2, 0, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1)|6|11|5|5|3|(0, 2, 4)|False|False
1206|(4, 1, 1, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0)|6|11|5|6|3|(0, 1, 4)|False|False
1207|(4, 1, 0, 1, 0)|(1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1)|6|11|5|7|3|(0, 1, 4)|False|False
1208|(4, 1, 0, 0, 1)|(1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0)|6|11|5|8|3|(0, 1, 4)|False|False
1209|(4, 0, 2, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1)|6|11|5|9|3|(0, 2, 4)|False|False
1210|(4, 0, 1, 1, 0)|(1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0)|6|11|5|10|3|(0, 1, 4)|False|False
1211|(4, 0, 1, 0, 1)|(1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1)|6|11|5|11|3|(0, 1, 4)|False|False
1212|(4, 0, 0, 2, 0)|(1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0)|6|11|5|12|3|(0, 2, 4)|False|False
1213|(4, 0, 0, 1, 1)|(1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1)|6|11|5|13|3|(0, 1, 4)|False|False
1214|(4, 0, 0, 0, 2)|(1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0)|6|11|5|14|3|(0, 2, 4)|False|False
1215|(3, 3, 0, 0, 0)|(1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1)|6|11|5|15|2|(0, 3)|False|False
1216|(3, 2, 1, 0, 0)|(1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0)|6|11|5|16|4|(0, 1, 2, 3)|False|False
1217|(3, 2, 0, 1, 0)|(1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1)|6|11|5|17|4|(0, 1, 2, 3)|False|False
1218|(3, 2, 0, 0, 1)|(1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0)|6|11|5|18|4|(0, 1, 2, 3)|False|False
1219|(3, 1, 2, 0, 0)|(1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1)|6|11|5|19|4|(0, 1, 2, 3)|False|False
1220|(3, 1, 1, 1, 0)|(1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0)|6|11|5|20|3|(0, 1, 3)|False|False
1221|(3, 1, 1, 0, 1)|(1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1)|6|11|5|21|3|(0, 1, 3)|False|False
1222|(3, 1, 0, 2, 0)|(1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0)|6|11|5|22|4|(0, 1, 2, 3)|False|False
1223|(3, 1, 0, 1, 1)|(1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1)|6|11|5|23|3|(0, 1, 3)|False|False
1224|(3, 1, 0, 0, 2)|(1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0)|6|11|5|24|4|(0, 1, 2, 3)|False|False
1225|(3, 0, 3, 0, 0)|(1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1)|6|11|5|25|2|(0, 3)|False|False
1226|(3, 0, 2, 1, 0)|(1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0)|6|11|5|26|4|(0, 1, 2, 3)|False|False
1227|(3, 0, 2, 0, 1)|(1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1)|6|11|5|27|4|(0, 1, 2, 3)|False|False
1228|(3, 0, 1, 2, 0)|(1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0)|6|11|5|28|4|(0, 1, 2, 3)|False|False
1229|(3, 0, 1, 1, 1)|(1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1)|6|11|5|29|3|(0, 1, 3)|False|False
1230|(3, 0, 1, 0, 2)|(1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0)|6|11|5|30|4|(0, 1, 2, 3)|False|False
1231|(3, 0, 0, 3, 0)|(1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1)|6|11|5|31|2|(0, 3)|False|False
1232|(3, 0, 0, 2, 1)|(1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0)|6|11|5|32|4|(0, 1, 2, 3)|False|False
1233|(3, 0, 0, 1, 2)|(1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1)|6|11|5|33|4|(0, 1, 2, 3)|False|False
1234|(3, 0, 0, 0, 3)|(1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0)|6|11|5|34|2|(0, 3)|False|False
1235|(2, 4, 0, 0, 0)|(1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1)|6|11|5|35|3|(0, 2, 4)|False|False
1236|(2, 3, 1, 0, 0)|(1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0)|6|11|5|36|4|(0, 1, 2, 3)|False|False
1237|(2, 3, 0, 1, 0)|(1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1)|6|11|5|37|4|(0, 1, 2, 3)|False|False
1238|(2, 3, 0, 0, 1)|(1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0)|6|11|5|38|4|(0, 1, 2, 3)|False|False
1239|(2, 2, 2, 0, 0)|(1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1)|6|11|5|39|2|(0, 2)|False|False
1240|(2, 2, 1, 1, 0)|(1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0)|6|11|5|40|3|(0, 1, 2)|False|False
1241|(2, 2, 1, 0, 1)|(1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1)|6|11|5|41|3|(0, 1, 2)|False|False
1242|(2, 2, 0, 2, 0)|(1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0)|6|11|5|42|2|(0, 2)|False|False
1243|(2, 2, 0, 1, 1)|(1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1)|6|11|5|43|3|(0, 1, 2)|False|False
1244|(2, 2, 0, 0, 2)|(1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0)|6|11|5|44|2|(0, 2)|False|False
1245|(2, 1, 3, 0, 0)|(1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1)|6|11|5|45|4|(0, 1, 2, 3)|False|False
1246|(2, 1, 2, 1, 0)|(1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0)|6|11|5|46|3|(0, 1, 2)|False|False
1247|(2, 1, 2, 0, 1)|(1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1)|6|11|5|47|3|(0, 1, 2)|False|False
1248|(2, 1, 1, 2, 0)|(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0)|6|11|5|48|3|(0, 1, 2)|False|False
1249|(2, 1, 1, 1, 1)|(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1)|6|11|5|49|2|(1, 2)|False|False
1250|(2, 1, 1, 0, 2)|(1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0)|6|11|5|50|3|(0, 1, 2)|False|False
1251|(2, 1, 0, 3, 0)|(1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1)|6|11|5|51|4|(0, 1, 2, 3)|False|False
1252|(2, 1, 0, 2, 1)|(1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0)|6|11|5|52|3|(0, 1, 2)|False|False
1253|(2, 1, 0, 1, 2)|(1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1)|6|11|5|53|3|(0, 1, 2)|False|False
1254|(2, 1, 0, 0, 3)|(1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0)|6|11|5|54|4|(0, 1, 2, 3)|False|False
1255|(2, 0, 4, 0, 0)|(1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1)|6|11|5|55|3|(0, 2, 4)|False|False
1256|(2, 0, 3, 1, 0)|(1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0)|6|11|5|56|4|(0, 1, 2, 3)|False|False
1257|(2, 0, 3, 0, 1)|(1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1)|6|11|5|57|4|(0, 1, 2, 3)|False|False
1258|(2, 0, 2, 2, 0)|(1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0)|6|11|5|58|2|(0, 2)|False|False
1259|(2, 0, 2, 1, 1)|(1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1)|6|11|5|59|3|(0, 1, 2)|False|False
1260|(2, 0, 2, 0, 2)|(1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0)|6|11|5|60|2|(0, 2)|False|False
1261|(2, 0, 1, 3, 0)|(1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1)|6|11|5|61|4|(0, 1, 2, 3)|False|False
1262|(2, 0, 1, 2, 1)|(1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0)|6|11|5|62|3|(0, 1, 2)|False|False
1263|(2, 0, 1, 1, 2)|(1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1)|6|11|5|63|3|(0, 1, 2)|False|False
1264|(2, 0, 1, 0, 3)|(1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0)|6|11|5|64|4|(0, 1, 2, 3)|False|False
1265|(2, 0, 0, 4, 0)|(1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1)|6|11|5|65|3|(0, 2, 4)|False|False
1266|(2, 0, 0, 3, 1)|(1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)|6|11|5|66|4|(0, 1, 2, 3)|False|False
1267|(2, 0, 0, 2, 2)|(1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1)|6|11|5|67|2|(0, 2)|False|False
1268|(2, 0, 0, 1, 3)|(1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0)|6|11|5|68|4|(0, 1, 2, 3)|False|False
1269|(2, 0, 0, 0, 4)|(1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1)|6|11|5|69|3|(0, 2, 4)|False|False
1270|(1, 5, 0, 0, 0)|(1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0)|6|11|5|70|3|(0, 1, 5)|False|False
1271|(1, 4, 1, 0, 0)|(1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1)|6|11|5|71|3|(0, 1, 4)|False|False
1272|(1, 4, 0, 1, 0)|(1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0)|6|11|5|72|3|(0, 1, 4)|False|False
1273|(1, 4, 0, 0, 1)|(1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1)|6|11|5|73|3|(0, 1, 4)|False|False
1274|(1, 3, 2, 0, 0)|(1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0)|6|11|5|74|4|(0, 1, 2, 3)|False|False
1275|(1, 3, 1, 1, 0)|(1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1)|6|11|5|75|3|(0, 1, 3)|False|False
1276|(1, 3, 1, 0, 1)|(1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0)|6|11|5|76|3|(0, 1, 3)|False|False
1277|(1, 3, 0, 2, 0)|(1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1)|6|11|5|77|4|(0, 1, 2, 3)|False|False
1278|(1, 3, 0, 1, 1)|(1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0)|6|11|5|78|3|(0, 1, 3)|False|False
1279|(1, 3, 0, 0, 2)|(1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1)|6|11|5|79|4|(0, 1, 2, 3)|False|False
1280|(1, 2, 3, 0, 0)|(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)|6|11|5|80|4|(0, 1, 2, 3)|False|False
1281|(1, 2, 2, 1, 0)|(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1)|6|11|5|81|3|(0, 1, 2)|False|False
1282|(1, 2, 2, 0, 1)|(1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0)|6|11|5|82|3|(0, 1, 2)|False|False
1283|(1, 2, 1, 2, 0)|(1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1)|6|11|5|83|3|(0, 1, 2)|False|False
1284|(1, 2, 1, 1, 1)|(1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0)|6|11|5|84|2|(1, 2)|False|False
1285|(1, 2, 1, 0, 2)|(1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1)|6|11|5|85|3|(0, 1, 2)|False|False
1286|(1, 2, 0, 3, 0)|(1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0)|6|11|5|86|4|(0, 1, 2, 3)|False|False
1287|(1, 2, 0, 2, 1)|(1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1)|6|11|5|87|3|(0, 1, 2)|False|False
1288|(1, 2, 0, 1, 2)|(1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)|6|11|5|88|3|(0, 1, 2)|False|False
1289|(1, 2, 0, 0, 3)|(1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1)|6|11|5|89|4|(0, 1, 2, 3)|False|False
1290|(1, 1, 4, 0, 0)|(1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0)|6|11|5|90|3|(0, 1, 4)|False|False
1291|(1, 1, 3, 1, 0)|(1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1)|6|11|5|91|3|(0, 1, 3)|False|False
1292|(1, 1, 3, 0, 1)|(1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0)|6|11|5|92|3|(0, 1, 3)|False|False
1293|(1, 1, 2, 2, 0)|(1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1)|6|11|5|93|3|(0, 1, 2)|False|False
